Indicator_id,IndicatorName,category
WBIN-0371,Households and NPISHs Final consumption expenditure (constant 2015 US$),EconomyAndGrowth
WBIN-0372,Households and NPISHs final consumption expenditure: linked series (current LCU),EconomyAndGrowth
WBIN-0373,Households and NPISHs Final consumption expenditure (current LCU),EconomyAndGrowth
WBIN-0374,Households and NPISHs Final consumption expenditure (current US$),EconomyAndGrowth
WBIN-0375,General government final consumption expenditure (% of GDP),EconomyAndGrowth
WBIN-0376,General government final consumption expenditure (constant LCU),EconomyAndGrowth
WBIN-0377,General government final consumption expenditure (annual % growth),EconomyAndGrowth
WBIN-0378,General government final consumption expenditure (constant 2015 US$),EconomyAndGrowth
WBIN-0379,General government final consumption expenditure (current LCU),EconomyAndGrowth
WBIN-0380,General government final consumption expenditure (current US$),EconomyAndGrowth
WBIN-0381,Expense (% of GDP),EconomyAndGrowth
WBIN-0382,"Revenue, excluding grants (% of GDP)",EconomyAndGrowth
WBIN-0383,"Central government debt, total (% of GDP)",EconomyAndGrowth
WBIN-0384,"Inflation, consumer prices (annual %)",EconomyAndGrowth
WBIN-0385,Total reserves minus gold (current US$),EconomyAndGrowth
WBIN-0386,"Total reserves (includes gold, current US$)",EconomyAndGrowth
WBIN-0387,Total debt service (% of GNI),EconomyAndGrowth
WBIN-0388,"Total debt service (% of exports of goods, services and primary income)",EconomyAndGrowth
WBIN-0389,Net ODA received per capita (current US$),EconomyAndGrowth
WBIN-0390,Net ODA received (% of GNI),EconomyAndGrowth
WBIN-0391,Net official development assistance received (current US$),EconomyAndGrowth
WBIN-0392,Present value of external debt (% of GNI),EconomyAndGrowth
WBIN-0393,"Present value of external debt (% of exports of goods, services and primary income)",EconomyAndGrowth
WBIN-0394,Present value of external debt (current US$),EconomyAndGrowth
WBIN-0395,"Short-term debt (% of exports of goods, services and primary income)",EconomyAndGrowth
WBIN-0396,Short-term debt (% of total reserves),EconomyAndGrowth
WBIN-0397,External debt stocks (% of GNI),EconomyAndGrowth
WBIN-0398,"External debt stocks, total (DOD, current US$)",EconomyAndGrowth
WBIN-0399,"Personal remittances, received (% of GDP)",EconomyAndGrowth
WBIN-0400,"Personal remittances, received (current US$)",EconomyAndGrowth
WBIN-0401,"Personal transfers, receipts (BoP, current US$)",EconomyAndGrowth
WBIN-0402,"Secondary income receipts (BoP, current US$)",EconomyAndGrowth
WBIN-0403,"Portfolio equity, net inflows (BoP, current US$)",EconomyAndGrowth
WBIN-0404,"Foreign direct investment, net inflows (% of GDP)",EconomyAndGrowth
WBIN-0405,"Foreign direct investment, net inflows (BoP, current US$)",EconomyAndGrowth
WBIN-0406,"Travel services (% of service exports, BoP)",EconomyAndGrowth
WBIN-0407,"Transport services (% of service exports, BoP)",EconomyAndGrowth
WBIN-0408,"Exports of goods, services and primary income (BoP, current US$)",EconomyAndGrowth
WBIN-0409,"Charges for the use of intellectual property, receipts (BoP, current US$)",EconomyAndGrowth
WBIN-0410,"Service exports (BoP, current US$)",EconomyAndGrowth
WBIN-0411,"Goods exports (BoP, current US$)",EconomyAndGrowth
WBIN-0412,"Insurance and financial services (% of service exports, BoP)",EconomyAndGrowth
WBIN-0413,"Exports of goods and services (BoP, current US$)",EconomyAndGrowth
WBIN-0414,"Primary income receipts (BoP, current US$)",EconomyAndGrowth
WBIN-0415,"Communications, computer, etc. (% of service exports, BoP)",EconomyAndGrowth
WBIN-0416,"ICT service exports (% of service exports, BoP)",EconomyAndGrowth
WBIN-0417,"ICT service exports (BoP, current US$)",EconomyAndGrowth
WBIN-0418,"Technical cooperation grants (BoP, current US$)",EconomyAndGrowth
WBIN-0419,"Grants, excluding technical cooperation (BoP, current US$)",EconomyAndGrowth
WBIN-0420,"Net capital account (BoP, current US$)",EconomyAndGrowth
WBIN-0421,"Net secondary income (BoP, current US$)",EconomyAndGrowth
WBIN-0422,"Reserves and related items (BoP, current US$)",EconomyAndGrowth
WBIN-0423,"Portfolio investment, net (BoP, current US$)",EconomyAndGrowth
WBIN-0424,"Foreign direct investment, net (BoP, current US$)",EconomyAndGrowth
WBIN-0425,"Net errors and omissions (BoP, current US$)",EconomyAndGrowth
WBIN-0426,"Net trade in goods (BoP, current US$)",EconomyAndGrowth
WBIN-0427,"Net trade in goods and services (BoP, current US$)",EconomyAndGrowth
WBIN-0428,"Net primary income (BoP, current US$)",EconomyAndGrowth
WBIN-0429,"Net financial account (BoP, current US$)",EconomyAndGrowth
WBIN-0430,Current account balance (% of GDP),EconomyAndGrowth
WBIN-0431,"Current account balance (BoP, current US$)",EconomyAndGrowth
WBIN-0432,"Personal remittances, paid (current US$)",EconomyAndGrowth
WBIN-0433,"Secondary income, other sectors, payments (BoP, current US$)",EconomyAndGrowth
WBIN-0434,"Foreign direct investment, net outflows (% of GDP)",EconomyAndGrowth
WBIN-0435,"Foreign direct investment, net outflows (BoP, current US$)",EconomyAndGrowth
WBIN-0436,"Travel services (% of service imports, BoP)",EconomyAndGrowth
WBIN-0437,"Transport services (% of service imports, BoP)",EconomyAndGrowth
WBIN-0438,"Imports of goods, services and primary income (BoP, current US$)",EconomyAndGrowth
WBIN-0439,"Charges for the use of intellectual property, payments (BoP, current US$)",EconomyAndGrowth
WBIN-0440,"Service imports (BoP, current US$)",EconomyAndGrowth
WBIN-0441,"Goods imports (BoP, current US$)",EconomyAndGrowth
WBIN-0442,"Insurance and financial services (% of service imports, BoP)",EconomyAndGrowth
WBIN-0443,"Imports of goods and services (BoP, current US$)",EconomyAndGrowth
WBIN-0444,"Primary income payments (BoP, current US$)",EconomyAndGrowth
WBIN-0445,"Communications, computer, etc. (% of service imports, BoP)",EconomyAndGrowth
WBIN-0446,Trade in services (% of GDP),EconomyAndGrowth
WBIN-0447,Population ages 15-64 (% of total population),Education
WBIN-0448,Population ages 0-14 (% of total population),Education
WBIN-0449,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Education
WBIN-0450,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Education
WBIN-0451,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Education
WBIN-0452,"Labor force, total",Education
WBIN-0453,"Labor force, female (% of total labor force)",Education
WBIN-0454,"Probability of dying among youth ages 20-24 years (per 1,000)",Education
WBIN-0455,"Probability of dying among adolescents ages 15-19 years (per 1,000)",Education
WBIN-0456,"Probability of dying among adolescents ages 10-14 years (per 1,000)",Education
WBIN-0457,"Probability of dying among children ages 5-9 years (per 1,000)",Education
WBIN-0458,Number of deaths ages 20-24 years,Education
WBIN-0459,Number of deaths ages 15-19 years,Education
WBIN-0460,Number of deaths ages 10-14 years,Education
WBIN-0461,Number of deaths ages 5-9 years,Education
WBIN-0462,"Government expenditure on education, total (% of GDP)",Education
WBIN-0463,"Government expenditure on education, total (% of government expenditure)",Education
WBIN-0464,Expenditure on tertiary education (% of government expenditure on education),Education
WBIN-0465,"Government expenditure per student, tertiary (% of GDP per capita)",Education
WBIN-0466,Expenditure on secondary education (% of government expenditure on education),Education
WBIN-0467,"Government expenditure per student, secondary (% of GDP per capita)",Education
WBIN-0468,Expenditure on primary education (% of government expenditure on education),Education
WBIN-0469,"Government expenditure per student, primary (% of GDP per capita)",Education
WBIN-0470,"Current education expenditure, total (% of total expenditure in public institutions)",Education
WBIN-0471,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",Education
WBIN-0472,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",Education
WBIN-0473,"Current education expenditure, primary (% of total expenditure in primary public institutions)",Education
WBIN-0474,"Tertiary education, academic staff (% female)",Education
WBIN-0475,"School enrollment, tertiary, male (% gross)",Education
WBIN-0476,"School enrollment, tertiary, female (% gross)",Education
WBIN-0477,"School enrollment, tertiary (% gross)",Education
WBIN-0478,"Pupil-teacher ratio, tertiary",Education
WBIN-0479,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Education
WBIN-0480,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",Education
WBIN-0481,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",Education
WBIN-0482,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Education
WBIN-0483,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",Education
WBIN-0484,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",Education
WBIN-0485,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Education
WBIN-0486,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",Education
WBIN-0487,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",Education
WBIN-0488,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Education
WBIN-0489,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Education
WBIN-0490,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Education
WBIN-0491,Adolescents out of school (% of lower secondary school age),Education
WBIN-0492,"Adolescents out of school, male (% of male lower secondary school age)",Education
WBIN-0493,"Adolescents out of school, female (% of female lower secondary school age)",Education
WBIN-0494,"Secondary education, teachers (% female)",Education
WBIN-0495,"Secondary education, teachers, female",Education
WBIN-0496,"Secondary education, teachers",Education
WBIN-0497,Trained teachers in secondary education (% of total teachers),Education
WBIN-0498,Trained teachers in upper secondary education (% of total teachers),Education
WBIN-0499,"Trained teachers in upper secondary education, male (% of male teachers)",Education
WBIN-0500,"Trained teachers in upper secondary education, female (% of female teachers)",Education
WBIN-0501,"Trained teachers in secondary education, male (% of male teachers)",Education
WBIN-0502,Trained teachers in lower secondary education (% of total teachers),Education
WBIN-0503,"Trained teachers in lower secondary education, male (% of male teachers)",Education
WBIN-0504,"Trained teachers in lower secondary education, female (% of female teachers)",Education
WBIN-0505,"Trained teachers in secondary education, female (% of female teachers)",Education
WBIN-0506,Progression to secondary school (%),Education
WBIN-0507,"Progression to secondary school, male (%)",Education
WBIN-0508,"Progression to secondary school, female (%)",Education
WBIN-0509,"School enrollment, secondary, private (% of total secondary)",Education
WBIN-0510,"School enrollment, secondary, male (% net)",Education
WBIN-0511,"School enrollment, secondary, female (% net)",Education
WBIN-0512,"School enrollment, secondary (% net)",Education
WBIN-0513,"School enrollment, secondary, male (% gross)",Education
WBIN-0514,"School enrollment, secondary, female (% gross)",Education
WBIN-0515,"School enrollment, secondary (% gross)",Education
WBIN-0516,"Secondary education, vocational pupils (% female)",Education
WBIN-0517,"Secondary education, vocational pupils",Education
WBIN-0518,"Pupil-teacher ratio, upper secondary",Education
WBIN-0519,"Pupil-teacher ratio, secondary",Education
WBIN-0520,"Pupil-teacher ratio, lower secondary",Education
WBIN-0521,"Secondary education, general pupils (% female)",Education
WBIN-0522,"Secondary education, general pupils",Education
WBIN-0523,"Secondary education, pupils (% female)",Education
WBIN-0524,"Secondary education, pupils",Education
WBIN-0525,"Secondary education, duration (years)",Education
WBIN-0526,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Education
WBIN-0527,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",Education
WBIN-0528,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",Education
WBIN-0529,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Education
WBIN-0530,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",Education
WBIN-0531,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Education
WBIN-0532,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Education
WBIN-0533,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",Education
WBIN-0534,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Education
WBIN-0535,"Lower secondary completion rate, total (% of relevant age group)",Education
WBIN-0536,"Lower secondary completion rate, male (% of relevant age group)",Education
WBIN-0537,"Lower secondary completion rate, female (% of relevant age group)",Education
WBIN-0538,Lower secondary school starting age (years),Education
WBIN-0539,Children out of school (% of primary school age),Education
WBIN-0540,"Children out of school, male (% of male primary school age)",Education
WBIN-0541,"Children out of school, primary, male",Education
WBIN-0542,"Children out of school, female (% of female primary school age)",Education
WBIN-0543,"Children out of school, primary, female",Education
WBIN-0544,"Children out of school, primary",Education
WBIN-0545,"Adjusted net enrollment rate, primary, male (% of primary school age children)",Education
WBIN-0546,"Adjusted net enrollment rate, primary, female (% of primary school age children)",Education
WBIN-0547,"Adjusted net enrollment rate, primary (% of primary school age children)",Education
WBIN-0548,"Primary education, teachers (% female)",Education
WBIN-0549,"Primary education, teachers",Education
WBIN-0550,Trained teachers in primary education (% of total teachers),Education
WBIN-0551,"Trained teachers in primary education, male (% of male teachers)",Education
WBIN-0552,"Trained teachers in primary education, female (% of female teachers)",Education
WBIN-0553,"Repeaters, primary, total (% of total enrollment)",Education
WBIN-0554,"Repeaters, primary, male (% of male enrollment)",Education
WBIN-0555,"Repeaters, primary, female (% of female enrollment)",Education
WBIN-0556,"Persistence to last grade of primary, total (% of cohort)",Education
WBIN-0557,"Persistence to last grade of primary, male (% of cohort)",Education
WBIN-0558,"Persistence to last grade of primary, female (% of cohort)",Education
WBIN-0559,"Persistence to grade 5, total (% of cohort)",Education
WBIN-0560,"Persistence to grade 5, male (% of cohort)",Education
WBIN-0561,"Persistence to grade 5, female (% of cohort)",Education
WBIN-0562,"School enrollment, primary, private (% of total primary)",Education
WBIN-0563,"Over-age students, primary (% of enrollment)",Education
WBIN-0564,"Over-age students, primary, male (% of male enrollment)",Education
WBIN-0565,"Over-age students, primary, female (% of female enrollment)",Education
WBIN-0566,Net intake rate in grade 1 (% of official school-age population),Education
WBIN-0567,"Net intake rate in grade 1, male (% of official school-age population)",Education
WBIN-0568,"Net intake rate in grade 1, female (% of official school-age population)",Education
WBIN-0569,"School enrollment, primary, male (% net)",Education
WBIN-0570,"School enrollment, primary, female (% net)",Education
WBIN-0571,"School enrollment, primary (% net)",Education
WBIN-0572,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Education
WBIN-0573,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Education
WBIN-0574,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Education
WBIN-0575,"School enrollment, primary, male (% gross)",Education
WBIN-0576,"School enrollment, primary, female (% gross)",Education
WBIN-0577,"School enrollment, primary (% gross)",Education
WBIN-0578,"Pupil-teacher ratio, primary",Education
WBIN-0579,"Primary education, pupils (% female)",Education
WBIN-0580,"Primary education, pupils",Education
WBIN-0581,"Primary education, duration (years)",Education
WBIN-0582,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Education
WBIN-0583,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",Education
WBIN-0584,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",Education
WBIN-0585,"Primary completion rate, total (% of relevant age group)",Education
WBIN-0586,"Primary completion rate, male (% of relevant age group)",Education
WBIN-0587,"Primary completion rate, female (% of relevant age group)",Education
WBIN-0588,Primary school starting age (years),Education
WBIN-0589,Trained teachers in preprimary education (% of total teachers),Education
WBIN-0590,"Trained teachers in preprimary education, male (% of male teachers)",Education
WBIN-0591,"Trained teachers in preprimary education, female (% of female teachers)",Education
WBIN-0592,"School enrollment, preprimary, male (% gross)",Education
WBIN-0593,"School enrollment, preprimary, female (% gross)",Education
WBIN-0594,"School enrollment, preprimary (% gross)",Education
WBIN-0595,"Pupil-teacher ratio, preprimary",Education
WBIN-0596,"Preprimary education, duration (years)",Education
WBIN-0597,"School enrollment, tertiary (gross), gender parity index (GPI)",Education
WBIN-0598,"School enrollment, secondary (gross), gender parity index (GPI)",Education
WBIN-0599,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Education
WBIN-0600,"School enrollment, primary (gross), gender parity index (GPI)",Education
WBIN-0601,"Compulsory education, duration (years)",Education
WBIN-0602,"Literacy rate, adult total (% of people ages 15 and above)",Education
WBIN-0603,"Literacy rate, adult male (% of males ages 15 and above)",Education
WBIN-0604,"Literacy rate, adult female (% of females ages 15 and above)",Education
WBIN-0605,"Literacy rate, youth total (% of people ages 15-24)",Education
WBIN-0606,"Literacy rate, youth male (% of males ages 15-24)",Education
WBIN-0607,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Education
WBIN-0608,"Literacy rate, youth female (% of females ages 15-24)",Education
WBIN-0609,Ores and metals exports (% of merchandise exports),EnergyAndMining
WBIN-0610,Fuel exports (% of merchandise exports),EnergyAndMining
WBIN-0611,Ores and metals imports (% of merchandise imports),EnergyAndMining
WBIN-0612,Fuel imports (% of merchandise imports),EnergyAndMining
WBIN-0613,Total natural resources rents (% of GDP),EnergyAndMining
WBIN-0614,Oil rents (% of GDP),EnergyAndMining
WBIN-0615,Natural gas rents (% of GDP),EnergyAndMining
WBIN-0616,Mineral rents (% of GDP),EnergyAndMining
WBIN-0617,Adjusted savings: natural resources depletion (% of GNI),EnergyAndMining
WBIN-0618,Adjusted savings: energy depletion (% of GNI),EnergyAndMining
WBIN-0619,Adjusted savings: energy depletion (current US$),EnergyAndMining
WBIN-0620,Adjusted savings: mineral depletion (% of GNI),EnergyAndMining
WBIN-0621,Adjusted savings: mineral depletion (current US$),EnergyAndMining
WBIN-0622,Investment in energy with private participation (current US$),EnergyAndMining
WBIN-0623,Value lost due to electrical outages (% of sales for affected firms),EnergyAndMining
WBIN-0624,Firms using banks to finance investment (% of firms),EnergyAndMining
WBIN-0625,Time required to get electricity (days),EnergyAndMining
WBIN-0626,Time to obtain an electrical connection (days),EnergyAndMining
WBIN-0627,Pump price for gasoline (US$ per liter),EnergyAndMining
WBIN-0628,Pump price for diesel fuel (US$ per liter),EnergyAndMining
WBIN-0629,Nitrous oxide emissions in energy sector (% of total),EnergyAndMining
WBIN-0630,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EnergyAndMining
WBIN-0631,Energy related methane emissions (% of total),EnergyAndMining
WBIN-0632,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EnergyAndMining
WBIN-0633,CO2 emissions from liquid fuel consumption (kt),EnergyAndMining
WBIN-0634,CO2 emissions from gaseous fuel consumption (% of total),EnergyAndMining
WBIN-0635,Energy use (kg of oil equivalent per capita),EnergyAndMining
WBIN-0636,Electric power consumption (kWh per capita),EnergyAndMining
WBIN-0637,Combustible renewables and waste (% of total energy),EnergyAndMining
WBIN-0638,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EnergyAndMining
WBIN-0639,Fossil fuel energy consumption (% of total),EnergyAndMining
WBIN-0640,Alternative and nuclear energy (% of total energy use),EnergyAndMining
WBIN-0641,"Energy imports, net (% of energy use)",EnergyAndMining
WBIN-0642,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EnergyAndMining
WBIN-0643,GDP per unit of energy use (PPP $ per kg of oil equivalent),EnergyAndMining
WBIN-0644,Renewable energy consumption (% of total final energy consumption),EnergyAndMining
WBIN-0645,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EnergyAndMining
WBIN-0646,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EnergyAndMining
WBIN-0647,Renewable electricity output (% of total electricity output),EnergyAndMining
WBIN-0648,Electricity production from oil sources (% of total),EnergyAndMining
WBIN-0649,Electricity production from nuclear sources (% of total),EnergyAndMining
WBIN-0650,Electricity production from natural gas sources (% of total),EnergyAndMining
WBIN-0651,Electric power transmission and distribution losses (% of output),EnergyAndMining
WBIN-0652,Electricity production from hydroelectric sources (% of total),EnergyAndMining
WBIN-0653,"Electricity production from oil, gas and coal sources (% of total)",EnergyAndMining
WBIN-0654,Electricity production from coal sources (% of total),EnergyAndMining
WBIN-0655,Access to electricity (% of population),EnergyAndMining
WBIN-0656,"Access to electricity, urban (% of urban population)",EnergyAndMining
WBIN-0657,"Access to electricity, rural (% of rural population)",EnergyAndMining
WBIN-0658,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EnergyAndMining
WBIN-0659,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Environment
WBIN-0660,People using safely managed sanitation services (% of population),Environment
WBIN-0661,"People using safely managed sanitation services, urban (% of urban population)",Environment
WBIN-0662,"People using safely managed sanitation services, rural (% of rural population)",Environment
WBIN-0663,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",Environment
WBIN-0664,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",Environment
WBIN-0665,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",Environment
WBIN-0666,People practicing open defecation (% of population),Environment
WBIN-0667,"People practicing open defecation, urban (% of urban population)",Environment
WBIN-0668,"People practicing open defecation, rural (% of rural population)",Environment
WBIN-0669,People with basic handwashing facilities including soap and water (% of population),Environment
WBIN-0670,"People with basic handwashing facilities including soap and water, urban (% of urban population)",Environment
WBIN-0671,"People with basic handwashing facilities including soap and water, rural (% of rural population)",Environment
WBIN-0672,People using at least basic sanitation services (% of population),Environment
WBIN-0673,"People using at least basic sanitation services, urban (% of urban population)",Environment
WBIN-0674,"People using at least basic sanitation services, rural (% of rural population)",Environment
WBIN-0675,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",Environment
WBIN-0676,People using safely managed drinking water services (% of population),Environment
WBIN-0677,"People using safely managed drinking water services, urban (% of urban population)",Environment
WBIN-0678,"People using safely managed drinking water services, rural (% of rural population)",Environment
WBIN-0679,People using at least basic drinking water services (% of population),Environment
WBIN-0680,"People using at least basic drinking water services, urban (% of urban population)",Environment
WBIN-0681,"People using at least basic drinking water services, rural (% of rural population)",Environment
WBIN-0682,Total natural resources rents (% of GDP),Environment
WBIN-0683,Oil rents (% of GDP),Environment
WBIN-0684,Natural gas rents (% of GDP),Environment
WBIN-0685,Mineral rents (% of GDP),Environment
WBIN-0686,Forest rents (% of GDP),Environment
WBIN-0687,Coal rents (% of GDP),Environment
WBIN-0688,"Adjusted net savings, excluding particulate emission damage (% of GNI)",Environment
WBIN-0689,"Adjusted net savings, excluding particulate emission damage (current US$)",Environment
WBIN-0690,"Adjusted net savings, including particulate emission damage (% of GNI)",Environment
WBIN-0691,"Adjusted net savings, including particulate emission damage (current US$)",Environment
WBIN-0692,Adjusted savings: net national savings (% of GNI),Environment
WBIN-0693,Adjusted savings: net national savings (current US$),Environment
WBIN-0694,Adjusted savings: gross savings (% of GNI),Environment
WBIN-0695,Adjusted savings: particulate emission damage (% of GNI),Environment
WBIN-0696,Adjusted savings: particulate emission damage (current US$),Environment
WBIN-0697,Adjusted savings: energy depletion (% of GNI),Environment
WBIN-0698,Adjusted savings: energy depletion (current US$),Environment
WBIN-0699,Adjusted savings: mineral depletion (% of GNI),Environment
WBIN-0700,Adjusted savings: mineral depletion (current US$),Environment
WBIN-0701,Adjusted savings: consumption of fixed capital (% of GNI),Environment
WBIN-0702,Adjusted savings: consumption of fixed capital (current US$),Environment
WBIN-0703,Adjusted savings: net forest depletion (% of GNI),Environment
WBIN-0704,Adjusted savings: net forest depletion (current US$),Environment
WBIN-0705,Adjusted savings: carbon dioxide damage (% of GNI),Environment
WBIN-0706,Adjusted savings: carbon dioxide damage (current US$),Environment
WBIN-0707,Adjusted savings: education expenditure (% of GNI),Environment
WBIN-0708,Adjusted savings: education expenditure (current US$),Environment
WBIN-0709,Terrestrial and marine protected areas (% of total territorial area),Environment
WBIN-0710,Marine protected areas (% of territorial waters),Environment
WBIN-0711,Terrestrial protected areas (% of total land area),Environment
WBIN-0712,Renewable internal freshwater resources per capita (cubic meters),Environment
WBIN-0713,"Renewable internal freshwater resources, total (billion cubic meters)",Environment
WBIN-0714,"Annual freshwater withdrawals, total (% of internal resources)",Environment
WBIN-0715,"Annual freshwater withdrawals, total (billion cubic meters)",Environment
WBIN-0716,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Environment
WBIN-0717,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Environment
WBIN-0718,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",Environment
WBIN-0719,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Environment
WBIN-0720,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Environment
WBIN-0721,Total fisheries production (metric tons),Environment
WBIN-0722,Capture fisheries production (metric tons),Environment
WBIN-0723,Aquaculture production (metric tons),Environment
WBIN-0724,Population living in slums (% of urban population),Environment
WBIN-0725,Population living in areas where elevation is below 5 meters (% of total population),Environment
WBIN-0726,Urban population living in areas where elevation is below 5 meters (% of total population),Environment
WBIN-0727,Rural population living in areas where elevation is below 5 meters (% of total population),Environment
WBIN-0728,"Mammal species, threatened",Environment
WBIN-0729,"Plant species (higher), threatened",Environment
WBIN-0730,"Fish species, threatened",Environment
WBIN-0731,CO2 emissions from transport (% of total fuel combustion),Environment
WBIN-0732,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",Environment
WBIN-0733,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),Environment
WBIN-0734,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",Environment
WBIN-0735,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),Environment
WBIN-0736,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Environment
WBIN-0737,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),Environment
WBIN-0738,Disaster risk reduction progress score (1-5 scale; 5=best),Environment
WBIN-0739,"Bird species, threatened",Environment
WBIN-0740,SF6 gas emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0741,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Environment
WBIN-0742,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",Environment
WBIN-0743,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",Environment
WBIN-0744,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",Environment
WBIN-0745,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Environment
WBIN-0746,PFC gas emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0747,Nitrous oxide emissions (% change from 1990),Environment
WBIN-0748,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0749,Nitrous oxide emissions in energy sector (% of total),Environment
WBIN-0750,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Environment
WBIN-0751,Agricultural nitrous oxide emissions (% of total),Environment
WBIN-0752,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0753,Methane emissions (% change from 1990),Environment
WBIN-0754,Methane emissions (kt of CO2 equivalent),Environment
WBIN-0755,Energy related methane emissions (% of total),Environment
WBIN-0756,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Environment
WBIN-0757,Agricultural methane emissions (% of total),Environment
WBIN-0758,Agricultural methane emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0759,HFC gas emissions (thousand metric tons of CO2 equivalent),Environment
WBIN-0760,Total greenhouse gas emissions (% change from 1990),Environment
WBIN-0761,Total greenhouse gas emissions (kt of CO2 equivalent),Environment
WBIN-0762,Other greenhouse gas emissions (% change from 1990),Environment
WBIN-0763,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Environment
WBIN-0764,CO2 emissions from solid fuel consumption (% of total),Environment
WBIN-0765,CO2 emissions from solid fuel consumption (kt),Environment
WBIN-0766,CO2 emissions (kg per 2017 PPP $ of GDP),Environment
WBIN-0767,CO2 emissions (kg per PPP $ of GDP),Environment
WBIN-0768,CO2 emissions (metric tons per capita),Environment
WBIN-0769,CO2 emissions from liquid fuel consumption (% of total),Environment
WBIN-0770,CO2 emissions from liquid fuel consumption (kt),Environment
